  0.8451  0.9022
  0.4113  1.0000
  0.4092  0.5257
  0.9568  0.9228
  0.5696  0.5508
  0.2399  0.1668
  0.3012  0.3324
  0.1470  0.0102
  0.2041  0.8333
  0.9417  0.7678
  0.1849  0.1574
  0.8155  1.0000
  0.9217  0.8439
  0.9813  0.7582
  0.2610  0.2738
  0.5471  0.4599
  0.7665  0.8245
  0.4318  0.6421
  0.9513  0.1918
  0.4333  0.4995
  0.8423  1.0000
  0.1866  0.2054
  0.4408  0.4548
  0.9220  0.7951
  0.8242  0.8904
  0.8758  0.7197
  1.0000  0.1263
  0.1065  0.8496
  0.3444  0.8134
  0.4772  0.4959
  0.5042  0.3632
  0.1709  0.8591
  0.8542  0.7734
  0.1019  0.2840
  0.1379  0.1013
  0.1848  0.2942
  0.8477  0.9721
  0.9410  0.2825
  0.2788  1.0000
  0.9197  0.2016
  0.8577  0.8385
  0.2746  0.3613
  0.2607  0.9030
  1.0000  0.9407
  1.0000  0.7741
  0.6994  1.0000
  0.4597  0.5256
  0.7557  0.2921
  0.9725  0.1941
  0.0833  0.9858
  0.3824  0.5724
  0.9888  0.0547
  0.0651  0.9170
  0.0908  1.0000
  0.1239  0.2170
  0.7056  0.9763
  0.4546  0.4975
  0.8786  0.8715
  0.9186  0.2895
  0.5021  0.4863
  1.0000  0.8616
  0.4237  0.4286
  0.2837  0.2145
  0.8849  0.2494
  0.7979  0.9754
  0.8612  0.1536
  0.0711  0.2957
  0.1239  0.9378
  0.9597  0.9903
  0.2000  0.9003
  0.0314  1.0000
  0.2888  0.8631
  0.1204  0.1381
  0.1350  0.2469
  0.3032  0.2744
  0.7446  0.1012
  0.1304  0.9368
  0.9105  0.2323
  0.0989  0.3760
  0.8146  0.2097
  0.8499  0.1337
  0.8840  0.7300
  0.2112  1.0000
  0.2012  0.1080
  0.8419  0.8968
  0.0775  0.8670
  0.5247  0.4918
  0.3212  0.9799
  0.7747  0.1362
  0.1046  0.3277
  0.0000  0.9583
  0.3890  0.7575
  0.4784  0.5201
  0.1680  0.9762
  0.2912  0.2411
  0.1498  0.9293
  0.4769  0.3641
  0.9069  0.1297
  0.1984  0.0977
  0.2041  0.1128
  0.0583  0.9670
  0.5026  0.3275
  0.1267  0.2624
  0.4526  0.6287
  0.1459  0.1427
  0.9188  0.8146
  0.4391  0.4014
  0.1826  1.0000
  0.4164  0.5991
  0.4686  0.2667
  0.7841  0.9432
  0.3716  0.4957
  0.2841  0.4783
  1.0000  0.1207
  0.0349  0.8668
  0.2992  0.3156
  0.1388  0.8862
  0.8065  0.7839
  0.7869  0.2733
  0.8861  1.0000
  0.9040  0.8273
  0.6280  0.4907
  0.2817  1.0000
  0.1300  0.1255
  0.2723  0.8435
  0.0851  0.8203
  0.7713  0.0076
  0.8902  0.1717
  0.5108  0.4981
  0.3729  0.1090
  0.5031  0.5252
  0.9479  0.3476
  0.1929  0.9192
  0.9876  0.9220
  0.1483  0.0282
  0.2218  0.8651
  0.3652  0.5278
  0.8738  0.9975
  0.2119  0.9077
  0.0953  0.3444
  0.6235  0.5498
  0.0741  0.9825
  0.7486  0.9580
  0.8763  0.1724
  0.9763  0.2392
  0.5424  0.5297
  0.7700  1.0000
  0.2974  0.0335
  0.3417  0.4859
  1.0000  0.2688
  0.2495  0.2939
  0.8905  0.1328
  0.8472  1.0000
  0.0762  0.0427
  1.0000  0.0477
  1.0000  0.1805
  0.8568  0.8287
  0.1192  0.7722
  0.5674  0.5130
  0.9804  0.9674
  0.3104  0.9077
  0.9055  0.9578
  0.1781  0.2714
  0.1883  0.2369
  1.0000  0.1584
  0.2257  0.2464
  0.2961  0.7879
  0.4415  0.5345
  0.9106  0.0868
  1.0000  0.7178
  0.2766  0.2943
  0.2683  0.2004
  0.2522  0.8494
  0.0144  0.2872
  0.9188  0.0843
  0.1877  0.2787
  0.8121  0.1510
  0.4956  0.5219
  1.0000  0.6816
  0.1488  0.1788
  0.8847  0.4443
  0.3028  0.0866
  0.1577  0.9199
  1.0000  0.9235
  0.5562  0.5925
  0.1196  0.2244
  0.8774  0.1360
  0.1849  0.9041
  0.3415  0.3458
  0.3379  0.1308
  0.9671  0.8353
  0.1356  0.9688
  0.7999  0.2120
  1.0000  0.1160
  0.1841  1.0000
  0.3665  0.5318
  0.3561  0.1224
  0.1298  0.1863
  0.3983  0.5770
  0.8731  0.1637
